SERIES,CNTRY,TRN,AGG,UNIT,REF,CODE,COUNTRY,SUB-CHAPTER,TITLE,UNIT.1,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
,DJI,,,,,,Djibouti,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39997312,0.405080166,0.410187212,0.415294258,0.420401304,0.42550835,0.430615396,0.435722442,0.440829488,0.445936534,0.45104358,0.44117805,0.4348478525,0.428517655,0.4221874575,0.41585726,,,,,,
,DOM,,,,,,Dominican Republic,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,0.47780794,0.48669906,0.49559018,0.5044813,0.5064970666666667,0.5085128333333333,0.5105286,0.5014433375,0.492358075,0.4832728125,0.47418755,0.48901546,0.49772244,0.50642942,0.5151364,0.49998924,0.49671522,0.5211965,0.52049935,0.499648,0.51961064,0.48855126,0.48107398,0.48875645,0.47325817,0.47706884,0.46133503,0.47656393,0.442794,0.4518094,0.45722562,0.42192984,0.436861,0.41917086,0.39628294,0.38529298,0.36979377,
,TLS,,,,,,East Timor,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35935292,0.3458329616666666,0.3323130033333333,0.318793045,0.3052730866666666,0.2917531283333333,0.27823317,0.2794183271428571,0.2806034842857142,0.2817886414285714,0.2829737985714285,0.2841589557142857,0.2853441128571428,0.28652927,,,,,,,,,
,ECU,,,,,,Ecuador,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5333033,0.5437841,0.5542649000000001,0.5647457,0.5752265000000001,0.5857073,0.5629919,0.5537074666666667,0.5444230333333333,0.5351386,0.53889215,0.53049964,0.5224719,0.53354627,0.49787596,0.48498443,0.48799783,0.45871222,0.46109366,0.46862358,0.4499254,0.459508,0.4501621,0.44669914,0.45437902,0.45709932,0.47309554,0.45797464,0.45465034,0.44579506
,,,,,,,Ecuador (urban),,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,0.5048004,0.50523423,0.5056680600000001,0.50610189,0.50653572,0.50696955,0.50740338,0.50783721,0.50827104,0.5041949266666667,0.5001188133333333,0.4960427,,,,,,,,,,,,,,,,,,,,,,,,,
,EGY,,,,,,Egypt,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3200394,0.3161971999999999,0.312355,0.3085128,0.3046706,0.3008284,0.3027084125,0.304588425,0.3064684374999999,0.30834845,0.310373852,0.312399254,0.3144246559999999,0.316450058,0.31847546,0.3166126875,0.314749915,0.3128871425,0.31102437,0.30646947,0.30191457,0.2924183,0.28292203,0.2946925466666666,0.3064630633333333,0.31823358,0.31678656,0.31533954,0.31713523,0.31893092,,,,
,SLV,,,,,,El Salvador,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48715472,0.512545585,0.53793645,0.5280727525,0.518209055,0.5083453575,0.49848166,0.5095812,0.52668312,0.54378504,0.5208074,0.5146378,0.5134745,0.518517,0.5043636,0.47799078,0.48472306,0.4568936,0.45217508,0.46885607,0.4582485,0.43513292,0.4231799,0.41828847,0.43358666,0.41559452,0.4055182,0.39978546,0.38007155,0.38610572,0.38778764,0.388947545,0.39010745,0.38753173,
,EST,,,,,,Estonia,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39427334,0.392041188,0.389809036,0.387576884,0.385344732,0.38311258,0.380880428,0.378648276,0.376416124,0.374183972,0.37195182,0.33559534,0.3344686,0.33667818,0.31178468,0.31915063,0.3144271,0.31999895,0.3248852,0.329136,0.35075676,0.3458795,0.3266799,0.3119477,0.30354318,0.3032016,0.30765438,0.30737108,0.31834,,
,SWZ,,,,,,Eswatini,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5863356,0.5771355333333333,0.5679354666666666,0.5587354,0.5495353333333334,0.5403352666666666,0.5311352,0.5292770111111111,0.5274188222222222,0.5255606333333334,0.5237024444444445,0.5218442555555556,0.5199860666666667,0.5181278777777778,0.5162696888888889,0.5144115,0.5188952771428572,0.5233790542857143,0.5278628314285715,0.5323466085714286,0.5368303857142858,0.5413141628571428,0.54579794,,,,,,,
,ETH,,,,,,Ethiopia,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44562823,0.409160655,0.37269308,0.336225505,0.29975793,0.299420048,0.299082166,0.298744284,0.298406402,0.29806852,0.30367477,0.30928102,0.31488727,0.32049352,0.32609977,0.33170602,0.335351064,0.3389961079999999,0.342641152,0.346286196,0.34993124,,,,,,,,
,,,,,,,Ethiopia (rural),,Gini coefficient,,,,,,,,,,,,,,,,,,,,0.30980363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FJI,,,,,,Fiji,,Gini coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38102055,0.38480977,0.38859899,0.39238821,0.39617743,0.39996665,0.40375587,0.396397892,0.389039914,0.381681936,0.374323958,0.36696598,0.3569830966666666,0.3470002133333333,0.33701733,0.3270344466666666,0.3170515633333333,0.30706868,,,,
